,exp_stage,history,rating,rt,stim_file,stim_index,subjid,stim_acc,stim_freq,reg_rating,stim_repetition,labeled_value,community,structure_coefficient
1,value_rating,"[(None, 0.0), (3.4, 3.849), (3.3, 4.985), (3.2, 5.052), (3.3, 5.934), (3.4, 5.952), (3.7, 5.968), (3.8, 5.985), (4.0, 6.002), (4.1, 6.018), (4.2, 6.035), (4.3, 6.068), (4.4, 6.151), (4.3, 6.334), (4.2, 6.518), (4.1, 6.619), (4.0, 6.734), (4.0, 8.503)]",4.0,8.503,images/2.png,2,HYC,0.957142857143,92,-0.511499370037,0,9.90846454017,0,-0.0207906221874
2,value_rating,"[(None, 0.0), (3.3, 4.429), (3.3, 5.866)]",3.3,5.866,images/8.png,8,HYC,0.96511627907,106,-1.34241144846,0,1.08503847794,1,-0.0207906221874
3,value_rating,"[(None, 0.0), (5.8, 2.828), (5.9, 3.749), (6.0, 3.883), (6.0, 4.798)]",6.0,4.798,images/9.png,4,HYC,0.9625,99,1.40054407728,0,8.86296143461,0,-0.0207906221874
4,value_rating,"[(None, 0.0), (6.1, 4.032), (6.2, 4.103), (6.3, 4.153), (6.4, 4.17), (6.4, 5.967)]",6.4,5.968,images/5.png,10,HYC,0.971830985915,90,1.6473427578,0,3.11548605754,1,-0.0207906221874
5,value_rating,"[(None, 0.0), (2.2, 3.462), (2.2, 5.314)]",2.2,5.314,images/3.png,3,HYC,0.852941176471,87,-0.600658188344,0,9.72714822428,0,-0.0207906221874
6,value_rating,"[(None, 0.0), (3.7, 3.529), (3.7, 4.584)]",3.7,4.585,images/6.png,9,HYC,0.957142857143,85,-0.811499370037,0,1.11560484841,1,-0.0207906221874
7,value_rating,"[(None, 0.0), (4.2, 4.365), (4.3, 4.902), (4.4, 5.02), (4.5, 5.037), (4.6, 5.054), (4.7, 5.085), (4.8, 5.121), (4.8, 6.817)]",4.8,6.817,images/2.png,2,HYC,0.957142857143,92,0.288500629963,1,9.90846454017,0,-0.0207906221874
8,value_rating,"[(None, 0.0), (5.7, 1.546), (6.2, 2.999), (6.2, 3.749)]",6.2,3.749,images/9.png,4,HYC,0.9625,99,1.60054407728,1,8.86296143461,0,-0.0207906221874
9,value_rating,"[(None, 0.0), (4.3, 3.494), (4.3, 4.816)]",4.3,4.816,images/11.png,5,HYC,1.0,60,-0.91515179154,1,4.66775983763,2,-0.0207906221874
10,value_rating,"[(None, 0.0), (5.3, 1.815), (5.3, 3.635)]",5.3,3.635,images/5.png,10,HYC,0.971830985915,90,0.547342757805,1,3.11548605754,1,-0.0207906221874
11,value_rating,"[(None, 0.0), (4.9, 3.247), (4.8, 4.051), (4.7, 4.101), (4.6, 4.217), (4.6, 6.267)]",4.6,6.267,images/6.png,9,HYC,0.957142857143,85,0.0885006299631,1,1.11560484841,1,-0.0207906221874
12,value_rating,"[(None, 0.0), (2.8, 1.618), (2.8, 2.305)]",2.8,2.305,images/3.png,3,HYC,0.852941176471,87,-0.000658188343567,1,9.72714822428,0,-0.0207906221874
13,value_rating,"[(None, 0.0), (4.5, 1.475), (4.5, 2.745)]",4.5,2.745,images/8.png,8,HYC,0.96511627907,106,-0.142411448456,1,1.08503847794,1,-0.0207906221874
14,value_rating,"[(None, 0.0), (4.1, 1.745), (4.2, 4.465), (4.3, 4.514), (4.4, 4.58), (4.5, 4.614), (4.6, 4.697), (4.5, 4.88), (4.4, 4.914), (4.3, 4.963), (4.2, 5.03), (4.1, 5.113), (4.1, 5.98)]",4.1,5.98,images/2.png,2,HYC,0.957142857143,92,-0.411499370037,2,9.90846454017,0,-0.0207906221874
