,correct,duration,exp_stage,onset,response,rotation,rt,secondary_responses,secondary_rts,stim_file,stim_index,trialnum,subjid,correct_shift,community,community_cross,steps_within_community,steps_since_seen
121,False,1.5,structure_learning,184.191617966,-1,0,-1.0,[],[],images/7.png,11,122,GL,False,2,False,2,8
122,True,1.5,structure_learning,185.697087049,unrot,0,0.447335004807,[],[],images/1.png,12,123,GL,False,2,False,3,10
123,True,1.5,structure_learning,187.202399969,unrot,0,0.559271097183,[],[],images/7.png,11,124,GL,True,2,False,4,2
124,True,1.5,structure_learning,188.709329128,unrot,0,0.751977205276,[],[],images/13.png,10,125,GL,True,2,False,5,92
125,True,1.5,structure_learning,190.214929104,unrot,0,0.698616027832,[],[],images/9.png,13,126,GL,True,2,False,6,101
126,True,1.5,structure_learning,191.72055006,unrot,0,1.32761120796,[],[],images/1.png,12,127,GL,True,2,False,7,4
127,True,1.5,structure_learning,193.226844072,unrot,0,0.789824008942,[],[],images/8.png,14,128,GL,True,2,False,8,7
128,False,1.5,structure_learning,194.732462168,unrot,90,1.07795500755,[],[],images/7.png,11,129,GL,True,2,False,9,5
129,True,1.5,structure_learning,196.237903118,unrot,0,0.57173204422,[],[],images/1.png,12,130,GL,False,2,False,10,3
130,True,1.5,structure_learning,197.74367404,unrot,0,0.103789806366,['right'],[1.0477428436279297],images/13.png,10,131,GL,True,2,False,11,6
131,True,1.5,structure_learning,199.250028133,unrot,0,0.390211105347,[],[],images/1.png,12,132,GL,True,2,False,12,2
132,True,1.5,structure_learning,200.755433083,unrot,0,0.217916965485,['right'],[1.336380958557129],images/13.png,10,133,GL,True,2,False,13,2
133,True,1.5,structure_learning,202.260966063,unrot,0,0.544255971909,[],[],images/9.png,13,134,GL,True,2,False,14,8
134,True,1.5,structure_learning,203.766453028,unrot,0,0.32423210144,['right'],[1.322995901107788],images/13.png,10,135,GL,True,2,False,15,2
135,True,1.5,structure_learning,205.271646976,unrot,0,0.689480066299,[],[],images/1.png,12,136,GL,True,2,False,16,4
136,True,1.5,structure_learning,206.77708602,unrot,0,0.255127906799,[],[],images/9.png,13,137,GL,True,2,False,17,3
137,True,1.5,structure_learning,208.282457113,unrot,0,0.31334400177,['right'],[1.2803149223327637],images/8.png,14,138,GL,True,2,False,18,10
138,True,1.5,structure_learning,209.787777185,unrot,0,0.480551958084,[],[],images/7.png,11,139,GL,True,2,False,19,10
139,True,1.5,structure_learning,211.292757034,unrot,0,0.0462908744812,['right'],[0.9815928936004639],images/8.png,14,140,GL,True,2,False,20,2
140,True,1.5,structure_learning,212.797875166,unrot,0,0.468121051788,[],[],images/7.png,11,141,GL,True,2,False,21,2
141,False,1.5,structure_learning,214.302939177,unrot,90,0.152978181839,['right'],[1.3507862091064453],images/1.png,12,142,GL,True,2,False,22,6
142,True,1.5,structure_learning,215.808086157,unrot,0,0.551012039185,[],[],images/7.png,11,143,GL,False,2,False,23,2
143,True,1.5,structure_learning,217.313143969,unrot,0,0.243433952332,['right'],[1.2744460105895996],images/8.png,14,144,GL,True,2,False,24,4
144,True,1.5,structure_learning,218.81874299,unrot,0,0.656773805618,[],[],images/15.png,0,145,GL,True,0,True,1,25
145,True,1.5,structure_learning,220.324016094,unrot,0,0.206103086472,['right'],[1.2924470901489258],images/8.png,14,146,GL,True,2,True,1,2
146,True,1.5,structure_learning,221.829594135,unrot,0,0.691157102585,[],[],images/7.png,11,147,GL,True,2,False,2,4
147,True,1.5,structure_learning,223.33483696,unrot,0,0.224740028381,[],[],images/9.png,13,148,GL,True,2,False,3,11
148,False,1.5,structure_learning,224.840221167,unrot,90,0.130239963531,[],[],images/13.png,10,149,GL,True,2,False,4,14
149,True,1.5,structure_learning,226.346719027,unrot,0,0.251810073853,['right'],[1.4894368648529053],images/1.png,12,150,GL,False,2,False,5,8
150,True,1.5,structure_learning,227.852174997,unrot,0,1.09508013725,[],[],images/13.png,10,151,GL,True,2,False,6,2
151,True,1.5,structure_learning,229.357192993,unrot,0,0.469517230988,[],[],images/9.png,13,152,GL,True,2,False,7,4
